1	0	0	0	0	0	0	0	1	0.01	0	
2	1000	1	1	1	1	100	100	2	0.02	100	
3	2000	2	2	2	2	200	200	3	0.03	200	
4	3000	3	3	3	3	300	300	4	0.04	300	
5	4000	4	4	4	4	400	400	5	0.05	400	
6	5000	5	5	5	5	500	500	6	0.06	500	
7	6000	6	6	6	6	600	600	7	0.07	600	
8	7000	7	7	7	7	700	700	8	0.08	700	
9	8000	8	8	8	8	800	800	9	0.09	800	
10	9000	9	9	9	9	900	900	10	0.1	900	
11	10000	10	10	10	10	1000	1000	11	0.11	1000	
12	11000	11	11	11	11	1100	1100	12	0.12	1100	
13	12000	12	12	12	12	1200	1200	13	0.13	1200	
14	13000	13	13	13	13	1300	1300	14	0.14	1300	
15	14000	14	14	14	14	1400	1400	15	0.15	1400	
16	15000	15	15	15	15	1500	1500	16	0.16	1500	
17	16000	16	16	16	16	1600	1600	17	0.17	1600	
18	17000	17	17	17	17	1700	1700	18	0.18	1700	
19	18000	18	18	18	18	1800	1800	19	0.19	1800	
20	19000	19	19	19	19	1900	1900	20	0.2	1900	
21	20000	20	20	20	20	2000	2000	21	0.21	2000	
22	21000	21	21	21	21	2100	2100	22	0.22	2100	
23	22000	22	22	22	22	2200	2200	23	0.23	2200	
24	23000	23	23	23	23	2300	2300	24	0.24	2300	
25	24000	24	24	24	24	2400	2400	25	0.25	2400	
26	25000	25	25	25	25	2500	2500	26	0.26	2500	
27	26000	26	26	26	26	2600	2600	27	0.27	2600	
28	27000	27	27	27	27	2700	2700	28	0.28	2700	
29	28000	28	28	28	28	2800	2800	29	0.29	2800	
30	29000	29	29	29	29	2900	2900	30	0.3	2900	
31	30000	30	30	30	30	3000	3000	31	0.31	3000	
32	31000	31	31	31	31	3100	3100	32	0.32	3100	
33	32000	32	32	32	32	3200	3200	33	0.33	3200	
34	33000	33	33	33	33	3300	3300	34	0.34	3300	
35	34000	34	34	34	34	3400	3400	35	0.35	3400	
36	35000	35	35	35	35	3500	3500	36	0.36	3500	
37	36000	36	36	36	36	3600	3600	37	0.37	3600	
38	37000	37	37	37	37	3700	3700	38	0.38	3700	
39	38000	38	38	38	38	3800	3800	39	0.39	3800	
40	39000	39	39	39	39	3900	3900	40	0.4	3900	
41	40000	40	40	40	40	4000	4000	41	0.41	4000	
42	41000	41	41	41	41	4100	4100	42	0.42	4100	
43	42000	42	42	42	42	4200	4200	43	0.43	4200	
44	43000	43	43	43	43	4300	4300	44	0.44	4300	
45	44000	44	44	44	44	4400	4400	45	0.45	4400	
46	45000	45	45	45	45	4500	4500	46	0.46	4500	
47	46000	46	46	46	46	4600	4600	47	0.47	4600	
48	47000	47	47	47	47	4700	4700	48	0.48	4700	
49	48000	48	48	48	48	4800	4800	49	0.49	4800	
50	49000	49	49	49	49	4900	4900	50	0.5	4900	
